0 found wagslane.dev,63 times 
1 found wagslane.dev/tags,62 times 
2 found wagslane.dev/about,62 times 
3 found wagslane.dev/index.xml,62 times 
4 found wagslane.dev/posts/leave-scrum-to-rugby,5 times 
5 found wagslane.dev/posts/kanban-vs-scrum,4 times 
6 found wagslane.dev/posts/managers-that-cant-code,4 times 
7 found wagslane.dev/posts/continuous-deployments-arent-continuous-disruptions,3 times 
8 found wagslane.dev/posts/zen-of-proverbs,2 times 
9 found wagslane.dev/posts/college-a-solution-in-search-of-a-problem,2 times 
10 found wagslane.dev/posts/guard-keyword-error-handling-golang,2 times 
11 found wagslane.dev/posts/no-one-does-devops,2 times 
12 found wagslane.dev/posts/dark-patterns,2 times 
13 found wagslane.dev/posts/func-y-json-api,2 times 
14 found wagslane.dev/posts/seo-is-a-scam-job,2 times 
15 found wagslane.dev/posts/things-i-dont-want-to-do-to-grow-business,2 times 
16 found wagslane.dev/posts/what-a-crazy-religion,2 times 
17 found wagslane.dev/posts/collapsing-quality-of-devto,2 times 
18 found wagslane.dev/posts/keep-your-data-raw-at-rest,2 times 
19 found wagslane.dev/posts/gos-major-version-handling,2 times 
20 found wagslane.dev/posts/optimize-for-simplicit-first,2 times 
21 found wagslane.dev/posts/go-struct-ordering,2 times 
22 found wagslane.dev/posts/a-case-against-a-case-for-the-book-of-mormon,2 times 
23 found wagslane.dev/posts/developers-learn-to-say-no,1 times 
24 found wagslane.dev/tags/business,1 times 
25 found wagslane.dev/tags/clean-code,1 times 
26 found wagslane.dev/tags/devops,1 times 
27 found wagslane.dev/tags/education,1 times 
28 found wagslane.dev/tags/golang,1 times 
29 found wagslane.dev/tags/management,1 times 
30 found wagslane.dev/tags/philosophy,1 times 
31 found wagslane.dev/tags/writing,1 times 
